ID;азвание;усское название;ртикул;роизводитель;ренд;атегория;аличие;ена
2000045984;Наклонная, 60см, 1000 м3, периметральное всасывание, поверхность:закаленное стекло, сенсорное управление, белая;Вытяжки Weissgauff;ASSY 60 TC WH;Weissgauff;;Бытовая техника и электроника;0;ет цены
2000045963;"Телевизор ЖК 65"" Samsung/ 65”, Ultra HD, Smart TV,Wi-Fi, Voice, PQI 1400, DVB-T2/C/S2, curved, Smart control";"Телевизор ЖК 65"" Samsung";UE65RU7300UX;Samsung;;Телевизоры;0;ет цены
2000010225;Морозильная камера Liebherr/ 85x55x61, объем 101 л;Морозильная камера Liebherr;G      1223-20 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054544;Холодильник Liebherr/ 85x55.4х62.3, однокамерный, 151л, без морозильной камеры, белый;Холодильник Liebherr;T 1710-22 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054545;85x50.1x62, 107/15 л, однокамерный, верхняя морозильная камера, серебристый;Холодильник Liebherr;Tsl 1414-22 088;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054547;Холодильник Liebherr/ 85x60x62.8см, 163л, без морозильной камеры, белый;Холодильник Liebherr;T 1810-22 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054548;85x50.1x62, однокамерный, объем 138л, черный;Минихолодильник Liebherr;Tb 1400-21 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054561;Холодильник Liebherr/ 185.2x60x63, объем камеры 390, морозильной камеры нет;Холодильник Liebherr;K 4220-25 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054562;185.2x60x63, объем камеры 390, морозильной камеры нет.BluPerformance Comfort, BioCool, ш. 60см, в. 185см, белый;Холодильник Liebherr;K 4330-21 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054580;Холодильник LIEBHERR/ РОЗНИЧНЫЙ ЭКСКЛЮЗИВ.185x121x66, объем камер 562+126, No Frost, side by side;Холодильник LIEBHERR;SBSes 8483-21 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054581;Холодильник Liebherr/ РОЗНИЧНЫЙ ЭКСКЛЮЗИВ.185.2x121x66.5, объем холодильной камеры 519 л, объем морозильной камеры 126 л, винное отделение 153 л, No Frost, расположение морозильной камеры Side-by-Side;Холодильник Liebherr;SBSes 8496-21 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054582;Холодильник Liebherr/ РОЗНИЧНЫЙ ЭКСКЛЮЗИВ.185.2x121x63, объем холодильной камеры 391 л, объем морозильной камеры 261 л, No Frost, расположение морозильной камеры Side-by-Side;Холодильник Liebherr;SBSes 8773-21 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054565;Холодильник Liebherr/ РОЗНИЧНЫЙ ЭКСКЛЮЗИВ!! 165.5x60х66.5, 318 л, без морозильной камеры, серебристый;Холодильник Liebherr;KBef 3730-21 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054566;Холодильник Liebherr/ 185x60х66.5, 366 л, без морозильной камеры;Холодильник Liebherr;KBef 4330-21 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054567;Холодильник Liebherr/ РОЗНИЧНЫЙ ЭКСКЛЮЗИВ!! 185.x60х66.5, 367 л, без морозильной камеры, серебристый;Холодильник Liebherr;KBies 4370-21 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054568;185.2x60x63, объем камеры 390, морозильной камеры нет.BluPerformance Comfort, BioCool, ш. 60см, в. 185см,нержавеющая сталь;Холодильник Liebherr;Kef 4330-21 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054569;185.2x60x63, объем камеры 390, морозильной камеры нет.BluPerformance Premium, BioCool, ш. 60см, в. 185см,нержавеющая сталь;Холодильник Liebherr;Kef 4370-21 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000054570;Холодильник Liebherr/ 140.2x55x62.9, однодверный, объем камер 229+21, серебристый;Холодильник Liebherr;Ksl 2814-21 001;Liebherr;;Бытовая техника и электроника;0;ет цены
2000039765;Стиральная машина CANDY/ 85x60x47, загрузка фронтальная, стирка 6кг, сушка 4кг, до 1300 об/мин при отжиме, inverter, Smart Touch управление (NFC), MPS+, Пар, A/В, 16 программ, отсрочка 24 ч, Mix&Wash, быстрая стирка 14/30/44 мин, хлопок, шерсть, деликатная, детская одежда,  ежедневная за 59 мин, стирка + сушка 59 минут, ручная Шерсть/Шелк,  полоскание, Touch дисплей, белая;Стиральная машина CANDY;GVSW4364TWHC-07;Candy;;Бытовая техника и электроника;0;ет цены
2000029000;Газовая плита HANSA/ 85х60х60 см, ретро стиль, гриль, чугунные решетки, цвет: антрацит;Газовая плита HANSA;FCGA62109;Hansa;;Бытовая техника и электроника;0;ет цены
2000029001;Комбинированная плита HANSA/ 85х60х60 см, ретро стиль, 8 режимов нагрева, гриль, чугунные решетки, цвет: антрацит;Комбинированная плита HANSA;FCMA68109;Hansa;;Бытовая техника и электроника;0;ет цены
2000029002;Комбинированная плита HANSA/ 85х50х60 см, ретро стиль, 8 режимов нагрева, гриль, чугунные решетки, цвет: антрацит;Комбинированная плита HANSA;FCMA58109;Hansa;;Бытовая техника и электроника;0;ет цены
2000049579;наклонная, 75 х 59.6 х 38.6 см, 620 м3/ч, 64 дБ, сенсорное + дистанционное управление, белое стекло;Вытяжка CANDY;CDM656W-07;Candy;;Бытовая техника и электроника;0;ет цены
2000049580;наклонная, 75 х 59.6 х 38.6 см, 620 м3/ч, 64 дБ, сенсорное + дистанционное управление, черное стекло;Вытяжка CANDY;CDM656B-07;Candy;;Бытовая техника и электроника;0;ет цены
2000049581;наклонная,75 х 59.6 х 38.6 см, 620 м3/ч, 64 дБ, сенсорное+дистанционное управление, черный + серебро;Вытяжка CANDY;CDP620GBX-07;Candy;;Бытовая техника и электроника;0;ет цены
2000033618;84.5x59.6x59.8 см, 12 комплектов, 3 программы, расход 12л, электронное управление, t 50-65, A+, регулятор высоты верхней корзины, 1/2 загрузка, белая;Посудомоечные машины шириной 60 см Schaub Lorenz;SLG SW6300;Schaub Lorenz;;Бытовая техника и электроника;0;ет цены
2000032965;Вытяжка SMEG/ Cortina, вытяжка настенная декоративная, 90 см, белый / фурнитура состаренное серебро;Вытяжка SMEG;KC19BSE;SMEG;;Бытовая техника и электроника;0;ет цены
2000039070;"Телевизор ЖК 40'' Sony/ 40"", FULL HD, DVB-T2/C";Телевизор ЖК 40'' Sony;KDL40RE353BR;Sony;;Телевизоры;0;ет цены
2000038991;Узкая стиральная машина, 84.5x59.7x41.6 см, загрузка фронтальная, 6кг, до 1200 об/мин при отжиме, A++, дисплей, белая;Узкие стиральные машины Schaub Lorenz;SLW MC6133;Schaub Lorenz;;Бытовая техника и электроника;0;ет цены
2000038813;Узкая стиральная машина, 84.5x59.7x41.6 см, загрузка фронтальная, 6кг, до 1000 об/мин при отжиме, A++, дисплей, белая;Узкие стиральные машины Schaub Lorenz;SLW MC6132;Schaub Lorenz;;Бытовая техника и электроника;0;ет цены
2000041119;Посудомоечные машины ELECTROLUX/ 85x45x62, 9 комплектов, 5 программ, A+, таймер отсрочки старта 3 часа, 49 дБ, белый;Посудомоечные машины ELECTROLUX;ESF9422LOW;Electrolux;;Бытовая техника и электроника;0;ет цены
2000041160;Электрические плиты Hansa/  85х50х60, стеклокерамика, электрическая, гриль, конвекция, таймер, телескопические направляющие, нержавеющая сталь;Электрические плиты Hansa;FCCX58277;Hansa;;Бытовая техника и электроника;0;ет цены
2000039424;Вытяжки Korting/ Наклонная, 60см, электронное сенсорное управление Touch, 3 режима, 450 м3/ч., таймер, алюминиевый жировой фильтр, лампы освещения LED, ур.шума 50 дб, черное стекло;Вытяжки Korting;KHC 65070 GN;Körting;;Бытовая техника и электроника;0;ет цены
2000032306;Газовые плиты Hansa/ 85х50х60, ретро, газовая, электрический гриль, электроподжиг варочной поверхности в ручке, слоновая кость;Газовые плиты Hansa;FCGY52109;Hansa;;Бытовая техника и электроника;0;ет цены
2000041209;Сушильный барабан ELECTROLUX/ 85х60х60, 9 кг, B, тепловой насос, дисплей, белый;Сушильный барабан ELECTROLUX;EW8HR259ST;Electrolux;;Бытовая техника и электроника;0;ет цены
2000049452;ВЫТЯЖКА MAUNFELD LEE PUSH 39 BLACK/ островная, ширина 380 мм, кнопочное управление, 3 скорости, 1000 м3/ч, 52 дБ, светодиодное LED освещение, черный цвет;ВЫТЯЖКА MAUNFELD LEE PUSH 39 BLACK;LEE PUSH 39 BLACK;Maunfeld;;Бытовая техника и электроника;0;ет цены
2000040878;Электрическая плита ELECTROLUX/ 85х50х60, стеклокерамика, электрическая с паром, гриль, таймер, 11 режимов, нерж. сталь;Электрическая плита ELECTROLUX;EKC954907X;Electrolux;;Бытовая техника и электроника;0;ет цены
1000594782;Smart TV 4K Mediaplayer Dune HD Pro 4K II: UltraHD/60 Hz/3D/HDR10+, CPU Realtek 1619, RAM 4 Gb, Flash 32 Gb, 1xUSB2.0, 2xUSB3.0, Ext  SATA, Micro SD, LAN 1000Mb/s, WiFi 802.1ac, BT 4.2, HDMI 2.0a, S/PDIF, A/V Out, HDMI In, Remote Control, Android 9;Плеер;Dune HD Max 4K II;Dune HD;;Медиаплееры;0;ет цены
1000594783;Smart TV 4K Mediaplayer Dune HD Pro 4K II: UltraHD/60 Hz/3D/HDR10+, CPU Realtek 1619, RAM 4 Gb, Flash 32 Gb, 1xUSB2.0, 2xUSB3.0, Ext  SATA, Micro SD, LAN 1000Mb/s, WiFi 802.1ac, BT 4.2, HDMI 2.0a, S/PDIF, A/V Out, HDMI In, Remote Control, Android 9;Плеер;Dune HD Ultra 4K II;Dune HD;;Медиаплееры;0;ет цены
